schema_name;table_name;row_count
dbo;GSPARAM;1508
dbo;HLASENIDPH;1491
dbo;XXZBOZIUFI;1491
dbo;XXHROMRESPOH;1486
dbo;OBECCIS;1361
dbo;XXPLPRODPODSOR;1318
dbo;UCTOSN;1302
dbo;XXTSDOKPOZNZBOZI;1281
dbo;UCPRPOL;1263
dbo;INTRASTATOBDOBI;1256
dbo;XXOBCHPODMSUBJ;1234
dbo;PARAM;1158
dbo;XXPRODAKCESORT;1115
dbo;XXMCHDPOPIS;1103
dbo;CINNOST;1072
dbo;XXCASTROL_MASTER_DATA_400;1068
dbo;NAZEVUO;1063
dbo;HIERCIN;1062
dbo;XXKONTAKTDM;1048
dbo;DZSESTAVY;1046
dbo;CINPRILOHA;1002
dbo;XXPRODFOKUSKAN;996
dbo;BB_DOPRAVCE_ATRIBUT;981
dbo;DASHWIDGETPARAMS;979
dbo;XXPRODAKCECENSKUP;940
dbo;XXOZPROTOKOL;940
dbo;XXEDIPRVEK;927
dbo;xxtempblokcm;827
dbo;DESCRTAB;808
dbo;XXSTRUPROCES;798
dbo;XXTDMFREKNAV;791
dbo;XXOBCHPODMEZE;775
dbo;XXPROCES;763
dbo;XXABCPRODVYR12;748
dbo;UZVESKUP;742
dbo;XXUZOBJSKUP;725
dbo;XXCASTROL_MASTER_DATA_300;707
dbo;UCTOBD;700
dbo;XXPRECISSARZE;685
